Date,Year,Month_1,Month (Name),key_word,value
2017-05,2017,5,May,Muslim,35
2017-05,2017,5,May,Terrorism,35
2017-06,2017,6,June,Muslim,26
2017-06,2017,6,June,Terrorism,26
2017-07,2017,7,July,Muslim,45
2017-07,2017,7,July,Terrorism,0
2017-08,2017,8,August,Muslim,14
2017-08,2017,8,August,Terrorism,28
2017-09,2017,9,September,Muslim,14
2017-09,2017,9,September,Terrorism,14
2017-10,2017,10,October,Muslim,27
2017-10,2017,10,October,Terrorism,21
2017-11,2017,11,November,Muslim,58
2017-11,2017,11,November,Terrorism,0
2017-12,2017,12,December,Muslim,15
2017-12,2017,12,December,Terrorism,29
2018-01,2018,1,January,Muslim,27
2018-01,2018,1,January,Terrorism,13
2018-02,2018,2,February,Muslim,0
2018-02,2018,2,February,Terrorism,16
2018-03,2018,3,March,Muslim,0
2018-03,2018,3,March,Terrorism,15
2018-04,2018,4,April,Muslim,16
2018-04,2018,4,April,Terrorism,16
2018-05,2018,5,May,Muslim,33
2018-05,2018,5,May,Terrorism,16
2018-06,2018,6,June,Muslim,0
2018-06,2018,6,June,Terrorism,0
2018-07,2018,7,July,Muslim,0
2018-07,2018,7,July,Terrorism,0
2018-08,2018,8,August,Muslim,18
2018-08,2018,8,August,Terrorism,0
2018-09,2018,9,September,Muslim,17
2018-09,2018,9,September,Terrorism,17
2018-10,2018,10,October,Muslim,0
2018-10,2018,10,October,Terrorism,25
2018-11,2018,11,November,Muslim,18
2018-11,2018,11,November,Terrorism,18
2018-12,2018,12,December,Muslim,19
2018-12,2018,12,December,Terrorism,0
2019-01,2019,1,January,Muslim,0
2019-01,2019,1,January,Terrorism,0
2019-02,2019,2,February,Muslim,19
2019-02,2019,2,February,Terrorism,19
2019-03,2019,3,March,Muslim,44
2019-03,2019,3,March,Terrorism,0
2019-04,2019,4,April,Muslim,37
2019-04,2019,4,April,Terrorism,38
2019-05,2019,5,May,Muslim,19
2019-05,2019,5,May,Terrorism,19
2019-06,2019,6,June,Muslim,19
2019-06,2019,6,June,Terrorism,0
2019-07,2019,7,July,Muslim,18
2019-07,2019,7,July,Terrorism,18
2019-08,2019,8,August,Muslim,18
2019-08,2019,8,August,Terrorism,0
2019-09,2019,9,September,Muslim,18
2019-09,2019,9,September,Terrorism,0
2019-10,2019,10,October,Muslim,0
2019-10,2019,10,October,Terrorism,26
2019-11,2019,11,November,Muslim,0
2019-11,2019,11,November,Terrorism,19
2019-12,2019,12,December,Muslim,20
2019-12,2019,12,December,Terrorism,0
2020-01,2020,1,January,Muslim,0
2020-01,2020,1,January,Terrorism,0
2020-02,2020,2,February,Muslim,16
2020-02,2020,2,February,Terrorism,0
2020-03,2020,3,March,Muslim,9
2020-03,2020,3,March,Terrorism,0
2020-04,2020,4,April,Muslim,0
2020-04,2020,4,April,Terrorism,11
2020-05,2020,5,May,Muslim,12
2020-05,2020,5,May,Terrorism,12
2020-06,2020,6,June,Muslim,0
2020-06,2020,6,June,Terrorism,0
2020-07,2020,7,July,Muslim,13
2020-07,2020,7,July,Terrorism,13
2020-08,2020,8,August,Muslim,0
2020-08,2020,8,August,Terrorism,14
2020-09,2020,9,September,Muslim,0
2020-09,2020,9,September,Terrorism,14
2020-10,2020,10,October,Muslim,0
2020-10,2020,10,October,Terrorism,0
